domain,count,median_sponsor_score,is_sponsored,domain_category
discogs.com,44815,1.0,0,Music
greenmangaming.com,44740,5.0,1,Video Game
neonetwork.pk,44350,0.0,0,Media
fiverr.com,44161,5.0,1,Agency
theaudiopedia.com,44071,4.0,0,Education
zaful.com,43886,16.0,1,Shop
avantlink.com,43873,8.0,1,Agency
pixiv.net,43719,3.0,0,Social Media
bbc.co.uk,43595,2.0,0,Media
manoramanews.com,43285,4.0,0,Media
geo.itunes.apple.com,43282,4.0,0,Music
qvc.co,43195,6.0,1,Shop
epidemicsound.com),42953,5.0,1,Music
mixer.com,42856,4.0,0,Video Game
hybiz.tv,42241,2.0,0,Media
districtlines.com,41988,3.0,0,Fashion
elgato.com,41857,5.0,1,Technology
itun.es,41535,3.0,0,Music
btprt.dj,41423,2.0,0,Music
france24.com,41178,0.0,0,Media
citizentv.co.ke,40402,0.0,0,Media
wynk.in,40318,3.0,0,Music
gmbn.eu,40147,11.0,0,YCW
erosnow.com,40001,3.0,0,Streaming
beatport.com,39937,2.0,0,Music
tacklewarehouse.com,39774,6.0,0,Shop
apply.fullscreen.net,39707,4.0,0,Application
smash.gg,39459,1.0,0,Video Game
aminoapps.com,39139,4.0,0,Social Media
fashionchannel.it,39077,4.0,0,Fashion
iwant.ph,38997,0.0,0,Streaming
iwantv.com.ph,38929,0.0,0,Streaming
uww.io,38536,0.0,0,Sport
zeenews.india.com,38477,1.0,0,Media
trancentral.tv,38258,2.0,0,Music
aliexpress.com,37915,5.0,1,Shop
ddinews.gov.in,37746,0.0,0,Media
anrdoezrs.net,37524,13.0,1,Shop
datinglogic.net,36939,0.0,0,Dating
vpwow.com,36893,16.0,1,Beauty
api.shopstyle.com,36852,9.0,1,Fashion
espn.com,36844,3.0,0,Sport
360dms.in,36773,1.0,1,Agency
chessworld.net,36759,4.0,0,Entertainment
next9news.com,36750,0.0,0,Media
wwe.com,36564,2.0,0,Sport
yogsca.st,36548,4.0,0,Video Game
fashionnova.com,36511,8.0,1,Fashion
hotstar.com,36419,1.0,0,Streaming
hungama.com,36181,4.0,0,Streaming
cdbaby.com,36015,5.0,1,Music
farming-simulator.com,35803,4.0,0,Video Game
ellenhutson.com,35747,3.0,0,Shop
abs-cbn.com,35494,0.0,0,Media
periscope.tv,35415,4.0,0,Social Media
zazzle.com,35348,5.0,1,Shop
ncbi.nlm.nih.gov,34929,6.0,0,Science
sites.google.com,34775,2.0,0,Sharing Service
thizzler.com,34707,4.0,1,Music
wp.me,34312,5.0,1,Application
imdb.com,34103,3.0,0,Movie
mbsy.co,34013,15.0,1,Agency
plays.tv,33859,5.0,0,Application
bhphotovideo.com,33777,6.0,1,Shop
rover.ebay.com,33761,7.0,1,Shop
saavn.com,33714,3.0,1,Music
pcdeal.tv,33702,14.0,1,Shop
asianetnews.com,33673,0.0,0,Media
evancarmichael.com,33531,19.0,1,YCW
ustream.tv,33469,1.0,0,Technology
kbsworld.co.kr,33281,2.0,0,Media
kickstarter.com,33146,3.0,0,Donation
blogtalkradio.com,33090,2.0,0,Radio
myanimelist.net,33065,3.0,1,Social Media
euw.op.gg,33038,4.0,0,Application
tytnetwork.com,33025,9.0,0,Media
cbc.ca,33025,3.0,0,Media
doubtnut.app.link,32940,10.0,1,Application
pbs.org,32717,1.0,0,Media
vevo.ly,32713,1.0,0,Music
newsone.tv,32179,0.0,0,Media
cnbc.com,32175,3.0,0,Media
vid.me,32134,3.0,0,OVP
davidpakman.com,32119,3.0,0,Media
londonreal.tv,31784,4.0,0,Media
audiojungle.net,31780,7.0,0,Music
support.google.com,31706,7.0,0,Technology
zps.to,31698,1.0,0,Shop
indiatoday.intoday.in,31682,10.0,0,Media
cash.me,31573,6.0,0,Donation
wiwibloggs.com,31508,2.0,0,YCW
99l.tv,31461,6.0,0,Music
imbc.com,31334,0.0,0,Media
jiosaavn.com,31284,3.0,0,Music
c.mp.ucweb.com,31180,0.0,0,Application
gab.ai,31031,2.0,1,Social Media
trainingpeaks.com,30999,10.0,1,Sport
na.op.gg,30890,4.0,0,Application
sharemods.com,30842,5.0,0,Video Game
bbc.in,30841,5.0,0,Media
bhaarattoday.com,30830,7.0,0,Media
202.87.41.148,30829,3.0,0,Media
msb.im,30705,19.0,1,Service
thekingofhate.com,30682,12.0,0,Forum
myapp.wips.com,30600,2.0,1,Application
chriszabriskie.com,30590,5.0,0,Music
hautelook.com,30519,17.0,1,Fashion
lnk.to,30499,2.0,0,Music
standardmedia.co.ke,30486,2.0,0,Media
std.co.ke,30396,2.0,0,Media
chrono.gg,30357,7.0,1,Application
streamtip.com,30286,3.0,0,Streaming
aljazeera.com,30166,1.0,0,Media
liveleak.com,30116,1.0,0,OVP
di.sn,30077,2.0,0,
nbc.com,30018,2.0,0,Media
ipsy.com,29935,13.0,1,Beauty
stockfootage.com,29876,7.0,0,Service
cafepress.com,29807,3.0,1,Shop
ocremix.org,29788,7.0,0,Music
newsx.com,29695,1.0,0,Media
commons.wikimedia.org,29626,3.0,0,Education
arcadepunk.co.uk,29550,12.0,0,Video Game
y2u.be,29510,5.0,0,Shorten
makeupgeek.com,29507,19.0,1,Beauty
coinbase.com,29488,9.0,1,Crypto
skyrim.nexusmods.com,29319,2.0,0,Video Game
erincondren.com,29219,15.0,1,Shop
sprtsnt.ca,29183,1.0,0,Sport
zameen.com,28900,3.0,0,Real Estate
reverbnation.com,28734,3.0,1,Agency
instant-gaming.com,28649,3.0,1,Video Game
seph.me,28438,5.0,1,Beauty
artstation.com,28203,2.0,0,Social Media
sndrs.com,28002,1.0,0,Sport
buzzfeed.com,27934,5.0,0,Media
thomann.de,27892,9.0,1,Shop
v.blnk.fr,27862,2.0,0,
ap.org,27691,3.0,0,Media
indiatoday.app.link,27629,10.0,0,Application
gaming.youtube.com,27313,6.0,0,OVP
medium.com,27302,4.0,1,Education
gtainside.com,27300,7.0,0,Video Game
audibletrial.com,26969,11.0,1,Book
videohive.net,26854,9.0,1,Service
beatstars.com,26806,10.0,1,Service
gtasnp.com,26749,21.0,0,Video Game
machinerytrader.com,26686,1.0,0,Vehicle
monster.cat,26658,3.0,1,Music
octoly.com,26641,18.0,1,Agency
wionews.com,26612,2.0,0,Media
glidebros.com,26495,1.0,0,Music
de.aliexpress.com,26426,9.0,1,Shop
share.cbn.com,26257,3.0,0,Religion
freesound.org,26225,3.0,0,Music
sephora.com,26099,8.0,1,Beauty
theguardian.com,26067,2.0,0,Media
on.wsj.com,25975,3.0,0,Media
cdkeys.com,25719,9.0,1,Technology
inewslive.net,25673,0.0,0,Media
play-asia.com,25565,7.0,1,Technology
rumble.com,25535,1.0,0,OVP
go.nowth.is,25346,4.0,0,Media
play.spotify.com,25344,1.0,0,Music
strava.com,25290,3.0,1,Application
democracynow.org,25273,6.0,0,Media
airbnb.com,25241,13.0,1,Travel
t.maxpreps.com,25225,7.0,0,Sport
abpmajha.abplive.in,25169,4.0,0,Media
m.onelink.me,25157,5.0,0,
getfpv.com,25092,8.0,1,Technology
cstoysjapan.com,25051,17.0,1,Shop
britishpathe.tv,25018,2.0,0,Streaming
sabc.co.za,24968,0.0,0,Radio
themangonews.com,24900,1.0,0,Media
mega.nz,24725,3.0,0,Sharing Service
bigbadtoystore.com,24715,3.0,0,Video Game
V6news.tv,24644,1.0,0,Media
onlinedatinglogic.com,24625,0.0,0,Dating
onlinedatingsitesandservices.com,24625,0.0,0,Dating
sofarsounds.com,24620,2.0,0,Music
gum.co,24528,8.0,1,Technology
moddb.com,24484,3.0,0,Video Game
presstv.com,24450,0.0,0,Media
store.roosterteeth.com,24399,3.0,0,Shop
freemusicarchive.org,24165,4.0,0,Music
xbox.com,24126,5.0,1,Video Game
behance.net,24083,3.0,0,Social Media
purplle.com,24021,6.0,1,Beauty
nutritionfacts.org,23928,9.0,0,Education
audioboom.com,23862,2.0,1,Agency
poshmark.com,23797,12.0,1,Shop
talkshowscentral.com,23783,0.0,0,Media
roosterteeth.com,23748,3.0,0,Shop
ibotta.com,23698,15.0,1,Application
gatewayclassiccars.com,23650,8.0,0,Vehicle
ironsidecomputers.com,23616,8.0,1,Technology
aninews.in,23598,1.0,0,Media
apnlive.com,23564,0.0,0,Media
StockFootage.com,23543,2.0,0,Service
subscribestar.com,23521,1.0,1,Agency
truckpaper.com,23495,1.0,0,Vehicle
500px.com,23332,7.0,0,Photo
help.tc,23244,33.0,0,
ebay.co.uk,23225,7.0,0,Shop
emvn.co,23216,6.0,0,Music
tigerfitness.com,23204,8.0,1,Sport
theartistunion.com,23202,3.0,0,
24NewsHD.tv,23164,0.0,0,Media
spreaker.com,23094,2.0,1,Agency
marinemax.com,23063,4.0,0,Vehicle
hitbox.tv,22961,2.0,0,Streaming
adorama.com,22960,4.0,0,Photo
etsy.me,22938,7.0,1,Shop
bloglovin.com,22935,7.0,0,Social Media
untvweb.com,22934,2.0,0,Media
ulta.com,22904,9.0,1,Beauty
truefire.com,22773,5.0,0,Education
ddnews.gov.in,22769,0.0,0,Media
bbtv.go2cloud.org,22768,2.0,0,
usagym.org,22752,0.0,0,Sport
abnandhrajyothy.com,22689,0.0,0,Media
simonsaysstamp.com,22681,4.0,0,Shop
logo.to,22664,1.0,0,YCW
forums.terraria.org,22578,3.0,0,Forum
binance.com,22577,7.0,1,Crypto
abpsanjha.abplive.in,22564,2.0,0,Media
zoomtv.com,22557,3.0,0,Media
newgrounds.com,22556,2.0,0,Social Media
player.me,22550,6.0,1,Video Game
mtdcnc.com,22434,19.0,1,Technology
eatreadlove.me,22430,13.0,1,Fashion
urlzs.com,22313,4.0,0,Shorten
bbstv.ug,22251,0.0,0,Media
lastmomenttuitions.com,22210,2.0,0,Education
thehansindia.com,22187,0.0,0,Media
stores.ebay.com,22175,3.0,0,Shop
linkshrink.net,22147,2.0,1,Shorten
hmtvlive.com,22125,0.0,0,Media
share.epidemicsound.com,22117,8.0,0,Music
bbcom.me,22116,6.0,1,Sport
wmur.com,22109,1.0,0,Media
hatfil.ms,22085,8.0,0,
dotabuff.com,22003,4.0,0,Video Game
eduonix.com,21925,10.0,1,Education
pixabay.com,21917,4.0,0,Photo
techieraj.com,21877,7.0,0,Service
go.magik.ly:443,21820,11.0,1,Agency
toneden.io,21791,3.0,1,Agency
stv.tv,21749,2.0,0,Streaming
ali.pub,21647,4.0,0,Shorten
nation.co.ke,21566,0.0,0,Media
plus.kakao.com,21517,1.0,0,
found.ee,21494,2.0,1,Agency
karaoke.stingray.com,21479,4.0,1,Application
spotboye.com,21469,2.0,0,Media
bestpianomethod.com,21426,15.0,1,Education
behindwoods.com,21389,3.0,0,Media
avenues.tv,21335,0.0,0,Media
epaper.v6velugu.com,21334,1.0,0,Media
ravelry.com,21048,5.0,0,Social Media
gog.com,21005,4.0,0,Video Game
boardgamegeek.com,20909,2.0,0,Entertainment
kairalitv.in,20710,0.0,0,Media
thaboxingvoice.com,20668,2.0,0,Media
twit.tv,20649,8.0,0,Technology
clevver.com,20648,4.0,0,Entertainment
cohh.tv,20616,2.0,0,YCW
intotheam.com,20616,8.0,1,Fashion
automototube.net,20585,8.0,0,Vehicle
wall.alphacoders.com,20520,3.0,0,Photo
ptcnews.tv,20515,0.0,0,Media
spr.ly,20368,2.0,0,
transtv.co.id,20299,0.0,0,Media
matchhistory.euw.leagueoflegends.com,20257,5.0,0,Video Game
gtomega.co.uk,19949,10.0,1,Shop
kbc.co.ke,19947,0.0,0,Media
fr.shopping.rakuten.com,19921,22.0,1,Shop
flipkart.com,19903,7.0,1,Shop
lon.tv,19840,9.0,0,YCW
compiled.social,19754,3.0,0,Shorten
junodownload.com,19705,2.0,0,Music
scrapbook.com,19630,5.0,0,Shop
gtn.io,19506,14.0,0,YCW
hirutv.lk,19446,3.0,0,YCW
aje.io,19417,1.0,0,Media
arirang.com,19404,0.0,0,Media
raresoulman.co.uk,19390,9.0,1,Music
wlky.com,19364,1.0,0,Media
rdiaz.org,19352,5.0,0,Education
wbaltv.com,19203,1.0,0,Media
moshc.am,19194,3.0,0,Music
telegraph.co.uk,19182,3.0,0,Media
channel4.com,19132,1.0,0,Media
hindi.indiatvnews.com,19107,4.0,0,Media
bernews.com,19105,2.0,0,Media
gamewisp.com,19100,3.0,1,Agency
kit.com,19099,5.0,1,Medical
pkpla.net,19087,8.0,0,YCW
minecraft.net,19079,4.0,0,Video Game
anchor.fm,19073,6.0,0,Service
eurone.ws,19070,1.0,0,Media
click.dji.com,19067,6.0,1,Technology
audible.com,19015,9.0,1,Book
onivia.com,19013,5.0,0,YCW
voobly.com,18995,4.0,0,Video Game
BoishakhiOnline.com,18934,2,0,Streaming
payhip.com,18897,8,1,Shop
buff.ly,18894,3,0,Agency
gurushakti.org.in,18892,7,1,Sport
wiki.ezvid.com,18869,4,0,Forum
acparadise.com,18839,2,0,Forum
mcprohosting.com,18768,7,1,Video Game
crunchyroll.com,18749,4,1,Streaming
society6.com,18726,4,1,Shop
apinternationalfilms.com,18667,2,0,Media
dctv.co,18663,3,0,Education
brightside.me,18661,6,0,Media
watchmojo.com,18621,7,0,Streaming
prakashastrologer.com,18539,10,0,Religion
8bitb.ro,18495,4,0,Social Media
booking.com,18488,13,1,Travel
newegg.com,18417,6,1,Technology
joshwoodward.com,18330,6,0,Music
cyclecruza.com,18299,68,0,Vehicle
gawkbox.com,18297,7,0,Dating
awin1.com,18169,8,1,Agency
soundclick.com,18110,3,0,Music
oxygen.tv,18100,4,0,Media
appsto.re,18058,5,0,Application
skillgaming.de,18041,1,0,Video Game
wattpad.com,17928,2,1,Social Media
v6velugu.com,17843,1,0,Media
artofdota2.com,17802,5,0,YCW
cgtn.com,17783,2,0,Media
bigfishgames.com,17774,4,1,Video Game
yellowpages.com,17755,1,0,Social Media
ocw.mit.edu,17740,0,0,Education
linktr.ee,17717,4,0,Service
angeldigital.co.in,17666,6,0,Media
kantipurtv.com,17655,1,0,Media
motube.us,17654,3,0,Forum
fas.st,17631,0,1,Agency
galatta.com,17558,1,0,Media
ea.com,17476,2,0,Video Game
khanacademy.org,17433,7,0,Education
apple.com,17363,6,0,Technology
hp.com,17343,5,0,Technology
formspring.me,17331,2,0,Social Media
channel24bd.tv,17316,1,0,Media
jangbricks.com,17280,5,0,YCW
apinternationalfilms.in,17253,2,0,Media
thomhartmann.com,17201,1,0,Media
skl.sh,17173,12,1,Education
projectlifemastery.com,17138,8,1,Education
go.tagjag.com,17132,10,1,Technology
bankersadda.com,17100,19,0,Education
beadaholique.com,17096,3,1,Fashion
store.epicgames.com,17076,10,0,Video Game
cutestockfootage.com,17065,15,0,Service
depop.com,17057,7,0,Fashion
higherselfherbs.com,17056,17,1,Food Drink
catholicshopping.com,17035,7,1,Religion
originpc.com,16999,7,1,Technology
juno.co.uk,16946,2,0,Music
ppci.me,16908,12,0,Technology
euronews.com,16887,2,0,Media
nykaa.com,16803,9,1,Beauty
foxnewsgo.com,16755,3,0,Media
abo.io,16749,14,0,Application
morphebrushes.com,16722,20,1,Beauty
afterbuzztv.com,16710,6,0,Media
hive.co,16704,4,1,Agency
datpiff.com,16674,2,0,Music
NextNewsNetwork.com,16669,18,0,Media
shop.bbtv.com,16654,3,0,Agency
therebel.media,16612,5,0,Media
chess24.com,16588,5,0,Entertainment
hustlerskungfulifeskills.com,16568,16,0,YCW
geo.tv,16549,1,0,Media
masteringthezodiac.com,16515,9,0,Education
ofracosmetics.com,16462,24,1,Beauty
parts-people.com,16420,12,0,Technology
nintendo.com,16412,2,0,Video Game
s.click.aliexpress.com,16381,7,0,Shop
bollywoodhungama.com,16362,0,0,Media
mrlocario.com,16349,5,0,Dating
dailybooth.com,16347,3,0,Social Media
wikigameguides.com,16335,5,0,Forum
thekaraokechannel.com,16317,4,0,Music
cantiques.karaokes.free.fr,16313,0,0,Religion
naio-nails.co.uk,16299,19,1,Beauty
coolstuffinc.com,16210,2,0,Shop
traxsource.com,16177,2,0,Music
hlntv.com,16175,1,0,Media
brailleskateboarding.com,16120,10,1,Sport
strawpoll.me,16096,3,0,Application
bollywoodkibaten.blogspot.in,16058,5,0,Media
dangheesling.tv,16051,2,0,Media
zappos.com,16043,1,0,Fashion
firstindianews.com,16036,3,0,Media
on.mash.to,15997,3,0,Media
seldo.com,15953,0,0,Technology
shop.spreadshirt.com,15909,5,1,Fashion
de.banggood.com,15891,20,0,Shop
sanskargroup.in,15888,1,0,YCW
statsroyale.com,15884,0,0,Video Game
instamojo.com,15877,8,1,Shop
dpbolvw.net,15859,13,0,Application
livevisionz.com,15857,2,0,Religion
deejay.de,15830,2,0,Music
us.shein.com,15822,9,1,Fashion
ctt.ec,15799,9,0,Agency
somoynews.tv,15783,5,0,Media
copyright.gov,15732,9,0,Government
gg.gg,15707,5,0,Shorten
gamebanana.com,15689,2,0,Video Game
pastemagazine.com,15682,0,0,Media
tolo.tv,15671,1,0,Media
packtpub.com,15651,4,1,Technology
gerardcosmetics.com,15644,25,1,Beauty
upsciq.com,15580,19,0,Media
nblast.de,15561,3,1,Music
abcnews.go.com,15553,0,0,Media
pcpartpicker.com,15507,5,0,Technology
8wayrun.com,15504,1,0,Video Game
ford.to,15495,8,0,Vehicle
vgfaq.com,15493,3,0,Media
netflix.com,15468,3,0,Streaming
eventbrite.com,15449,5,0,Media
alpha.wallhaven.cc,15448,3,0,Sharing Service
tgn.tv,15442,4,0,Agency
kmbc.com,15424,1,0,Media
teknoaxe.com,15407,5,0,Music
kinguin.net,15406,5,1,Video Game
video.adultswim.com,15382,2,0,OVP
instantgo.com,15341,4,0,Technology
carlgallups.com,15340,7,0,Religion
epicgames.com,15312,6,1,Video Game
channelstore.roku.com,15310,6,0,Streaming
tunein.com,15308,5,0,Streaming
soccerreviewsforyou.com,15306,13,0,Sport
last.fm,15292,4,0,Music
pathofexile.com,15263,3,0,Video Game
lehren.com,15201,2,0,Music
dota2.com,15198,2,0,Video Game
traktrain.com,15190,6,0,Music
abc.net.au,15178,2,0,Media
m.me,15161,7,0,Social Media
yoyoiptv.com,15146,5,0,Streaming
createspace.com,15142,6,0,Book
psnprofiles.com,15106,1,0,Video Game
fav.me,15105,3,0,Sharing Service
rsg.ms,15094,8,0,Video Game
grm.my,15075,4,0,Music
gbe.st,15072,9,0,Technology
mrsuicidesheep.com,15035,1,0,Video Game
nas.cr,15031,2,0,Crypto
DreAllDay.com,14994,6,0,YCW
nsdx.uk,14916,3,0,Music
creativemediagroup.com,14914,7,0,Media
gamefanshop.com,14890,4,0,Video Game
uploadfiles.eu,14879,6,0,Video Game
nocopyrightsounds.co.uk,14829,5,0,Music
feeds.feedburner.com,14826,3,0,Social Media
esnewsreporting.com,14795,4,0,Media
itunes.com,14793,3,0,Music
bethesda.net,14790,4,0,Video Game
streamelements.com,14789,3,1,Agency
jukinmedia.com,14788,7,0,Service
itsh.bo,14787,0,0,Streaming
colourpop.com,14781,13,1,Beauty
hellojuniper.com,14711,5,1,Service
ruggedreserves.com,14676,21,0,Shop
indianexpress.com,14673,4,0,Media
jdoqocy.com,14630,13,0,Agency
rebrand.ly,14612,8,0,Shorten
boishakhi.media,14584,2,0,Media
iherb.com,14560,18,0,Shop
s71.link,14553,4,0,Music
voanews.com,14540,1,0,Media
nbcsports.com,14537,3,0,Sport
news18.com,14482,3,0,Media
nettv4u.com,14479,3,0,Media
electronicgamersleague.com,14465,5,0,Video Game
bradry2.blogspot.com,14463,4,0,YCW
thesimsresource.com,14462,4,0,Video Game
londonreal.link,14432,5,0,Media
modhoster.com,14427,4,0,Video Game
ccmixter.org,14419,4,0,Music
drberg.com,14414,10,0,Medical
indiegogo.com,14404,3,0,Shop
nes-snes-sprites.com,14377,1,0,Video Game
boxycharm.com,14317,20,1,Beauty
bubble-witch-saga.se,14311,1,1,Video Game
nflshop.com,14253,7,0,Sport
nflnonline.nfl.com,14245,7,0,Sport
theverge.com,14245,2,0,Media
9news.com.au,14235,1,0,Media
smarturl.id,14223,0,0,Music
