domain,count,median_sponsor_score,is_sponsored,domain_category
plus.google.com,3786647,3.0,0,Social Media
play.google.com,2093786,4.0,1,Application
itunes.apple.com,1724603,3.0,0,Music
bit.ly,1408414,3.0,0,Shorten
tinyurl.com,1380122,4.0,0,Shorten
rstyle.me,1175073,11.0,1,Agency
steamcommunity.com,824573,3.0,0,Video Game
creativecommons.org,767740,4.0,0,Education
smarturl.it,750397,3.0,0,Shorten
po.st,739548,4.0,1,Agency
teespring.com,705812,4.0,1,Agency
go.magik.ly,691020,14.0,1,Agency
goo.gl,669080,2.0,0,Shorten
streamlabs.com,540814,4.0,1,Application
geni.us,527355,8.0,1,Agency
store.steampowered.com,521614,3.0,0,Video Game
incompetech.com,511871,3.0,0,Music
google.com,470247,3.0,0,
docs.google.com,424761,5.0,0,Sharing Service
apple.co,379614,4.0,0,Technology
g2a.com,335453,6.0,1,Video Game
dailymotion.com,311826,2.0,0,OVP
studyiq.com,306996,19.0,1,Education
epidemicsound.com,299971,4.0,0,Music
etsy.com,296379,6.0,1,Fashion
roblox.com,289549,5.0,0,Video Game
spoti.fi,288164,3.0,0,Music
full.sc,275554,4.0,1,Agency
apps.apple.com,272569,3.0,1,Application
vk.com,266803,2.0,0,Social Media
fxempire.com,260241,1.0,0,Media
ldli.co,237843,7.0,1,Agency
audiomicro.com,227367,5.0,0,Music
mediafire.com,222337,4.0,0,Sharing Service
shareasale.com,201578,8.0,1,Agency
gearbest.com,199806,17.0,1,Shop
banggood.com,182488,10.0,1,Shop
ow.ly,182276,3.0,0,Shorten
foxs.pt,182135,5.0,0,Sport
tiny.cc,166200,3.0,0,Shorten
feiyr.com,165981,8.0,1,Music
lcpdfr.com,164632,7.0,0,Video Game
testbook.com,164201,11.0,1,Education
j.mp,157324,4.0,0,Shorten
nexusmods.com,156597,3.0,0,Video Game
unionforgamers.com,151990,4.0,1,Agency
shrsl.com,150406,8.0,1,Agency
fkrt.it,146694,7.0,1,Shop
redbubble.com,143651,4.0,1,Shop
on.msnbc.com,141253,6.0,0,Media
zee5.com,140647,5.0,0,Streaming
gofundme.com,140322,3.0,0,Donation
kontrolfreek.com,137060,8.0,1,Technology
cnb.cx,135788,2.0,0,Media
ebay.com,135769,6.0,0,Shop
bit.do,135633,4.0,0,Shorten
ncs.io,133877,8.0,0,Music
e.lga.to,124165,5.0,1,Technology
ask.fm,122197,3.0,0,Social Media
push.com.ph,121203,0.0,0,Media
nbcnews.to,121113,3.0,0,Media
popyachts.com,118094,18.0,1,Vehicle
music.apple.com,117013,3.0,0,Music
nnn.is,114019,18.0,0,Shorten
nfl.com,113662,7.0,0,Sport
shopstyle.it,108661,9.0,1,Fashion
video.foxnews.com,108233,3.0,0,Media
aparchive.com,106740,1.0,0,Media
adf.ly,106548,5.0,0,Shorten
younow.com,102251,4.0,0,Streaming
bitly.com,101553,3.0,0,Shorten
ebates.com,98386,17.0,1,Shop
ted.com,97193,2.0,0,OVP
eepurl.com,96514,7.0,0,Shorten
bensound.com,95533,4.0,0,Music
gta5-mods.com,94669,4.0,0,Video Game
tidd.ly,91942,2.0,1,Agency
fox.tv,91460,2.0,0,Shorten
entertainment.abs-cbn.com,89484,0.0,0,Streaming
restream.io,88349,2.0,0,Streaming
es.pn,88155,3.0,0,Sport
gleam.io,87950,5.0,1,Agency
on.today.com,87566,15.0,1,Media
goodreads.com,85236,3.0,0,Book
abpnews.abplive.in,84847,4.0,0,Media
next9news.in,82418,0.0,0,Media
scufgaming.com,82209,8.0,1,Technology
audionautix.com,81970,4.0,0,Music
a.co,81745,6.0,0,Shop
lootcrate.com,81511,9.0,1,Technology
tubebuddy.com,80571,9.0,1,Agency
gfuel.com,80409,9.0,1,Food Drink
motionarray.com,79821,6.0,1,Agency
samaa.tv,79598,1.0,0,Media
dailymail.co.uk,79387,10.0,0,Media
bsta.rs,79365,9.0,1,Music
stampinup.com,78725,12.0,1,Shop
udemy.com,78671,9.0,1,Education
minecraftforum.net,78105,3.0,0,Video Game
beamng.com,78018,7.0,1,Video Game
cbsn.ws,76756,17.0,0,Media
store.playstation.com,74236,0.0,0,Video Game
ko-fi.com,73971,4.0,0,Donation
itv.com,73804,2.0,0,Media
hindi.news18.com,73709,0.0,0,Media
humblebundle.com,73220,6.0,1,Video Game
ndtv.com,73044,3.0,0,Media
bhpho.to,72221,8.0,1,Shop
gcn.eu,71468,12.0,0,Sport
tfc.tv,71401,0.0,0,Streaming
etrailer.com,70967,7.0,1,Shop
sigmabeauty.com,70346,14.0,1,Beauty
dropbox.com,70031,6.0,0,Sharing Service
kalingatv.com,69209,0.0,0,Media
piff.me,69029,7.0,0,Music
mixcloud.com,68929,2.0,0,Music
socialclub.rockstargames.com,67512,4.0,0,Video Game
designbyhumans.com,67258,4.0,0,Fashion
gumroad.com,67239,10.0,1,Shop
ign.com,66792,0.0,0,Media
claytrader.com,65659,9.0,1,Finance
is.gd,65577,3.0,0,Shorten
freedom.tm,65228,5.0,1,Agency
design.daddygif.com,64941,1.0,0,Real Estate
eonli.ne,64904,2.0,0,Media
click.linksynergy.com,64816,10.0,1,Agency
myspace.com,64663,2.0,0,Social Media
gplus.to,64291,3.0,0,Media
trt.world,63600,0.0,0,Media
weibo.com,63357,2.0,0,Media
op.gg,62855,4.0,0,Video Game
chat.whatsapp.com,62715,3.0,0,Social Media
tv9telugu.com,62701,3.0,0,Media
deezer.com,62472,2.0,0,Music
cbs.com,61479,15.0,0,Media
nba.com,61011,3.0,0,Sport
oprah.com,60394,3.0,0,Entertainment
sigma-beauty.7eer.net,60025,19.0,1,Beauty
vid.io,60003,5.0,1,Agency
teepublic.com,59349,4.0,0,Shop
instagr.am,59187,2.0,0,Social Media
digtb.us,59056,12.0,0,Entertainment
f24.my,59053,0.0,0,Media
fanlink.to,58998,3.0,1,Agency
minds.com,58855,3.0,0,Social Media
fave.co,58439,8.0,1,Agency
bookdepository.com,57685,5.0,1,Shop
matchhistory.na.leagueoflegends.com,56824,4.0,0,Video Game
stitcher.com,56436,4.0,0,Streaming
abplive.in,56205,4.0,0,Media
pastebin.com,56045,4.0,0,Sharing Service
sellfy.com,55955,6.0,1,Shop
c9.gg,55659,3.0,0,Video Game
btn.com,55330,2.0,0,Streaming
hyperurl.co,55316,2.0,1,Agency
sonyliv.com,55241,4.0,0,Streaming
unsplash.com,54438,3.0,0,Photo
wsj.com,53678,3.0,0,Media
win.gs,53566,1.0,0,Sport
indiatvnews.com,53553,4.0,0,Media
mlb.mlb.com,53374,6.0,0,Sport
bitchute.com,53357,3.0,0,Streaming
gamerfuzion.com,53002,0.0,0,Video Game
gaana.com,52986,3.0,0,Music
djshop.de,52523,8.0,0,Music
djtunes.com,52395,8.0,0,Music
jaimaharashtranews.tv,52024,2.0,0,Media
mtv.com.lb,51892,0.0,0,Media
osu.ppy.sh,51343,2.0,0,Video Game
britishpathe.com,51266,2.0,0,Media
bravo.ly,51095,5.0,0,Streaming
redirect.viglink.com,51093,8.0,0,Shorten
news24online.com,50973,2.0,0,Media
hindi.news24online.com,50561,2.0,0,Media
gmanews.tv,50445,1.0,0,Media
TunesToTube.com,50438,1.0,0,Service
at.nick.com,49971,4.0,0,Streaming
store.adda247.com,49656,16.0,1,Education
wgg.mobi,49460,6.0,1,Agency
autotrader.co.za,49080,2.0,0,Vehicle
.com,49062,3.0,0,
twinmusicom.org,48981,4.0,0,Music
player.epidemicsound.com,48829,8.0,1,Music
amara.org,48687,3.0,0,Service
ebay.to,47977,10.0,0,Shorten
machinimasound.com,47921,4.0,0,Music
1aau.to,47135,9.0,0,Shop
ruptly.tv,46908,3.0,0,Media
podcasts.apple.com,46900,5.0,0,Streaming
ttpm.com,46087,4.0,0,Shop
awe.sm,45695,3.0,1,Agency
firehandcards.com,45362,2.0,0,Sport
unacademy.com,44894,6.0,1,Entertainment
en.wiktionary.org,44829,1.0,0,Education
