categories,year,count,ratio
None,2005,0,0.0
None,2006,0,0.0
None,2007,2,1.4571948998178506e-05
None,2008,7,2.0707608567033487e-05
None,2009,30,4.319119590662639e-05
None,2010,71,6.541222600568994e-05
None,2011,162,8.640073728629151e-05
None,2012,118,4.032208461076887e-05
None,2013,108,2.687717801576247e-05
None,2014,147,2.837873448218945e-05
None,2015,143,2.1004475128277855e-05
None,2016,337,3.603210214384592e-05
None,2017,108,8.649405709745004e-06
None,2018,100,6.5462767102000615e-06
None,2019,189,1.485484225415079e-05
Autos & Vehicles,2005,3,0.009036144578313253
Autos & Vehicles,2006,1421,0.06100283334764317
Autos & Vehicles,2007,7366,0.05366848816029144
Autos & Vehicles,2008,18476,0.054656253697787247
Autos & Vehicles,2009,35480,0.05108078769223681
Autos & Vehicles,2010,59593,0.0549029687937617
Autos & Vehicles,2011,88574,0.04723986978022213
Autos & Vehicles,2012,135684,0.04636492990108104
Autos & Vehicles,2013,162838,0.04052431401602527
Autos & Vehicles,2014,186404,0.03598577974434042
Autos & Vehicles,2015,258044,0.03790264881119812
Autos & Vehicles,2016,260582,0.027861475492129553
Autos & Vehicles,2017,345724,0.027688029070332243
Autos & Vehicles,2018,385196,0.025215996036622227
Autos & Vehicles,2019,311582,0.024489425710226515
Comedy,2005,29,0.08734939759036145
Comedy,2006,1813,0.07783120116768266
Comedy,2007,5694,0.04148633879781421
Comedy,2008,9555,0.02826588569400071
Comedy,2009,14795,0.021300458114617917
Comedy,2010,18945,0.017454008756025294
Comedy,2011,32902,0.01754788307526891
Comedy,2012,50393,0.017219922116868437
Comedy,2013,68485,0.017043366077865673
Comedy,2014,90952,0.01755852148723874
Comedy,2015,124527,0.018291078841252143
Comedy,2016,164941,0.01763552213563232
Comedy,2017,212665,0.017031720974656682
Comedy,2018,224823,0.014717535688173085
Comedy,2019,151984,0.01194549388970822
Education,2005,7,0.02108433734939759
Education,2006,169,0.007255087146904782
Education,2007,2314,0.01685974499089253
Education,2008,22799,0.06744468110282807
Education,2009,41520,0.05977661513477093
Education,2010,74632,0.06875838382051622
Education,2011,120596,0.06431841551714575
Education,2012,169777,0.058014936940360216
Education,2013,216381,0.053849172742858324
Education,2014,255626,0.049349267896218775
Education,2015,326137,0.04790445108329479
Education,2016,446510,0.0477409315378298
Education,2017,660003,0.0528577195986003
Education,2018,854858,0.05596137015928204
Education,2019,604235,0.047491087880617996
Entertainment,2005,63,0.1897590361445783
Entertainment,2006,6570,0.28204687902464154
Entertainment,2007,29878,0.2176903460837887
Entertainment,2008,55638,0.16458998935037275
Entertainment,2009,91212,0.1313185120345069
Entertainment,2010,153734,0.14163497398251743
Entertainment,2011,304094,0.16218485064405883
Entertainment,2012,497732,0.17008128658887467
Entertainment,2013,634714,0.15795667747311723
Entertainment,2014,807142,0.1558208742001589
Entertainment,2015,1029927,0.15128025213595683
Entertainment,2016,1565403,0.16737317742517163
Entertainment,2017,2176261,0.17429041036384607
Entertainment,2018,2697068,0.1765575343422586
Entertainment,2019,2226961,0.17503256275738568
Film & Animation,2005,9,0.02710843373493976
Film & Animation,2006,1025,0.04400274748862368
Film & Animation,2007,3795,0.027650273224043717
Film & Animation,2008,7751,0.022929239143296653
Film & Animation,2009,14809,0.02132061400604101
Film & Animation,2010,28327,0.026097635578354633
Film & Animation,2011,62429,0.033295750790406746
Film & Animation,2012,91988,0.03143345694216446
Film & Animation,2013,125449,0.031219584304623946
Film & Animation,2014,170831,0.032979371362768066
Film & Animation,2015,233288,0.03426637757850129
Film & Animation,2016,329656,0.03524688030958953
Film & Animation,2017,430470,0.0344750895914253
Film & Animation,2018,467608,0.030610913599032303
Film & Animation,2019,392301,0.03083370090553232
Gaming,2005,0,0.0
Gaming,2006,301,0.012921782433244612
Gaming,2007,4069,0.02964663023679417
Gaming,2008,25312,0.07487871257839308
Gaming,2009,86693,0.12481247822443874
Gaming,2010,141462,0.13032879317206916
Gaming,2011,290048,0.15469358671860667
Gaming,2012,509309,0.1740372931442888
Gaming,2013,833420,0.2074072009434885
Gaming,2014,1146869,0.22140606011465394
Gaming,2015,1512749,0.2221992919288615
Gaming,2016,2035816,0.21766982213078884
Gaming,2017,2478332,0.1984823976985533
Gaming,2018,2641479,0.17291852458182547
Gaming,2019,2014444,0.15832935370275414
Howto & Style,2005,20,0.060240963855421686
Howto & Style,2006,1194,0.051257834635528465
Howto & Style,2007,8925,0.06502732240437159
Howto & Style,2008,26063,0.07710034315465625
Howto & Style,2009,42771,0.06157768800407725
Howto & Style,2010,67351,0.06205040610858061
Howto & Style,2011,108199,0.05770662576320651
