categories,year,count,ratio
Howto & Style,2012,180681,0.06174097092846042
Howto & Style,2013,246132,0.06125308869792267
Howto & Style,2014,293392,0.05664009297413964
Howto & Style,2015,380797,0.05593315465330645
Howto & Style,2016,523933,0.056019012974871295
Howto & Style,2017,702145,0.05623274974137876
Howto & Style,2018,791664,0.05182451605503821
Howto & Style,2019,594860,0.04675424054658274
Movies,2005,0,0.0
Movies,2006,0,0.0
Movies,2007,0,0.0
Movies,2008,0,0.0
Movies,2009,0,0.0
Movies,2010,0,0.0
Movies,2011,0,0.0
Movies,2012,0,0.0
Movies,2013,2,4.977255188104161e-07
Movies,2014,1,1.9305261552509828e-07
Movies,2015,1,1.468844414564885e-07
Movies,2016,1,1.0692018440310364e-07
Movies,2017,0,0.0
Movies,2018,0,0.0
Movies,2019,0,0.0
Music,2005,10,0.030120481927710843
Music,2006,4675,0.20069545805786898
Music,2007,22956,0.1672568306010929
Music,2008,51183,0.15141107561235356
Music,2009,116200,0.16729389881166623
Music,2010,174585,0.16084497855216026
Music,2011,285111,0.1520604975829127
Music,2012,404498,0.138222055770227
Music,2013,521508,0.12978391993189123
Music,2014,653974,0.12625139118541062
Music,2015,795565,0.11685612066733127
Music,2016,1012825,0.10829143576807344
Music,2017,1320471,0.10575267969400645
Music,2018,1612171,0.10553717470159943
Music,2019,1329271,0.10447677787310726
News & Politics,2005,7,0.02108433734939759
News & Politics,2006,1317,0.0565381643341633
News & Politics,2007,14360,0.10462659380692167
News & Politics,2008,25270,0.07475446692699089
News & Politics,2009,67463,0.09712692164829122
News & Politics,2010,97464,0.08979348162561358
News & Politics,2011,169560,0.09043277169298511
News & Politics,2012,246839,0.08434799189184387
News & Politics,2013,349808,0.08705418414201702
News & Politics,2014,460032,0.08881038082524202
News & Politics,2015,596981,0.08768722074513596
News & Politics,2016,873908,0.0934384045113475
News & Politics,2017,1290183,0.10332700191496241
News & Politics,2018,2120989,0.13884580893290518
News & Politics,2019,2566841,0.2017461277591887
Nonprofits & Activism,2005,0,0.0
Nonprofits & Activism,2006,37,0.0015883918605649524
Nonprofits & Activism,2007,541,0.003941712204007286
Nonprofits & Activism,2008,6123,0.01811324103656372
Nonprofits & Activism,2009,13577,0.019546895560808884
Nonprofits & Activism,2010,21495,0.019803321098483172
Nonprofits & Activism,2011,28280,0.015082795373187184
Nonprofits & Activism,2012,39107,0.013363353922655407
Nonprofits & Activism,2013,59203,0.014733421945066532
Nonprofits & Activism,2014,70375,0.013586077817578791
Nonprofits & Activism,2015,82187,0.01207199158998442
Nonprofits & Activism,2016,97483,0.010422900336167752
Nonprofits & Activism,2017,118501,0.009490400240837896
Nonprofits & Activism,2018,130403,0.008536541218402187
Nonprofits & Activism,2019,110137,0.008656443181721723
People & Blogs,2005,0,0.0
People & Blogs,2006,1319,0.056624023353653304
People & Blogs,2007,13672,0.09961384335154827
People & Blogs,2008,31167,0.09219914802981896
People & Blogs,2009,60399,0.08695683471881092
People & Blogs,2010,66036,0.0608388979790386
People & Blogs,2011,97349,0.05191990971656291
People & Blogs,2012,156526,0.053486903523603455
People & Blogs,2013,221188,0.05504545602731916
People & Blogs,2014,411033,0.07935099571712773
People & Blogs,2015,635832,0.093393828180162
People & Blogs,2016,1012489,0.108255510586114
People & Blogs,2017,1411483,0.11304156592044452
People & Blogs,2018,1684526,0.11027373321526468
People & Blogs,2019,1107647,0.08705778549356274
Pets & Animals,2005,55,0.16566265060240964
Pets & Animals,2006,603,0.025886494376234224
Pets & Animals,2007,4173,0.030404371584699455
Pets & Animals,2008,6921,0.020473908413205538
Pets & Animals,2009,10295,0.014821778728623957
Pets & Animals,2010,15596,0.014368578546263949
Pets & Animals,2011,21037,0.011219829075874781
Pets & Animals,2012,30398,0.010387379050831798
Pets & Animals,2013,38922,0.009686236321569508
Pets & Animals,2014,37009,0.007144684247968363
Pets & Animals,2015,48439,0.007114935459710846
Pets & Animals,2016,66900,0.007152960336567633
Pets & Animals,2017,101161,0.008101690101884393
Pets & Animals,2018,145417,0.009519399203671623
Pets & Animals,2019,118582,0.009320195260220682
Science & Technology,2005,3,0.009036144578313253
Science & Technology,2006,90,0.0038636558770498842
Science & Technology,2007,3083,0.022462659380692168
Science & Technology,2008,17317,0.051227665365045555
Science & Technology,2009,32539,0.04684661078685721
Science & Technology,2010,52310,0.04819314848391044
Science & Technology,2011,83395,0.044477712876483215
Science & Technology,2012,125864,0.0430093123512696
Science & Technology,2013,168943,0.04204362116219407
Science & Technology,2014,186324,0.035970335535098416
Science & Technology,2015,220923,0.03245015145989181
Science & Technology,2016,281005,0.030045106418194138
Science & Technology,2017,390603,0.03128225757818082
Science & Technology,2018,476513,0.031193859540075617
Science & Technology,2019,364092,0.028616556751313593
Shows,2005,0,0.0
Shows,2006,0,0.0
Shows,2007,0,0.0
Shows,2008,0,0.0
Shows,2009,0,0.0
Shows,2010,0,0.0
Shows,2011,0,0.0
Shows,2012,39,1.3326790676440558e-05
Shows,2013,2,4.977255188104161e-07
Shows,2014,0,0.0
Shows,2015,0,0.0
Shows,2016,0,0.0
Shows,2017,0,0.0
Shows,2018,0,0.0
Shows,2019,0,0.0
Sports,2005,3,0.009036144578313253
Sports,2006,1931,0.08289688331759251
Sports,2007,11443,0.08337340619307833
Sports,2008,23328,0.06900958466453674
Sports,2009,45629,0.06569236926744852
Sports,2010,82347,0.07586620528014859
Sports,2011,137547,0.07335902599702183
Sports,2012,219892,0.07513986295958634
Sports,2013,287302,0.07149876850263508
Sports,2014,330836,0.06386875510986141
Sports,2015,435426,0.06395730480563296
Sports,2016,545189,0.05829170841454367
Sports,2017,687902,0.05509206931986119
Sports,2018,861920,0.05642366822055637
Sports,2019,683717,0.05373813852635564
Travel & Events,2005,123,0.3704819277108434
Travel & Events,2006,829,0.03558856357860393
Travel & Events,2007,4979,0.036276867030965394
Travel & Events,2008,11130,0.032925097621583244
Travel & Events,2009,21174,0.03048434607089691
Travel & Events,2010,31476,0.028998805996550657
Travel & Events,2011,45701,0.024374074658770423
Travel & Events,2012,67591,0.023096695092597274
Travel & Events,2013,83874,0.02087311508235242
Travel & Events,2014,78988,0.015248839995096464
Travel & Events,2015,127107,0.018670040700209882
Travel & Events,2016,135793,0.014519012600650652
Travel & Events,2017,160395,0.012845568785319908
Travel & Events,2018,181124,0.01185687822858276
Travel & Events,2019,146281,0.011497254919467891
