year,month,count,date
2005,5,1,2005-05-01
2005,7,123,2005-07-01
2005,8,33,2005-08-01
2005,9,8,2005-09-01
2005,10,14,2005-10-01
2005,11,46,2005-11-01
2005,12,107,2005-12-01
2006,1,155,2006-01-01
2006,2,321,2006-02-01
2006,3,422,2006-03-01
2006,4,781,2006-04-01
2006,5,859,2006-05-01
2006,6,1617,2006-06-01
2006,7,1679,2006-07-01
2006,8,2601,2006-08-01
2006,9,2746,2006-09-01
2006,10,4025,2006-10-01
2006,11,3997,2006-11-01
2006,12,4091,2006-12-01
2007,1,5620,2007-01-01
2007,2,6750,2007-02-01
2007,3,8446,2007-03-01
2007,4,8632,2007-04-01
2007,5,11863,2007-05-01
2007,6,10601,2007-06-01
2007,7,12898,2007-07-01
2007,8,12252,2007-08-01
2007,9,12531,2007-09-01
2007,10,15508,2007-10-01
2007,11,16676,2007-11-01
2007,12,15473,2007-12-01
2008,1,19885,2008-01-01
2008,2,20201,2008-02-01
2008,3,21213,2008-03-01
2008,4,24096,2008-04-01
2008,5,26767,2008-05-01
2008,6,25470,2008-06-01
2008,7,28415,2008-07-01
2008,8,28385,2008-08-01
2008,9,29489,2008-09-01
2008,10,35725,2008-10-01
2008,11,39788,2008-11-01
2008,12,38606,2008-12-01
2009,1,44502,2009-01-01
2009,2,41878,2009-02-01
2009,3,49720,2009-03-01
2009,4,50954,2009-04-01
2009,5,53409,2009-05-01
2009,6,60406,2009-06-01
2009,7,65480,2009-07-01
2009,8,59469,2009-08-01
2009,9,62855,2009-09-01
2009,10,72675,2009-10-01
2009,11,66233,2009-11-01
2009,12,67005,2009-12-01
2010,1,71725,2010-01-01
2010,2,72332,2010-02-01
2010,3,84929,2010-03-01
2010,4,81647,2010-04-01
2010,5,87798,2010-05-01
2010,6,88698,2010-06-01
2010,7,91899,2010-07-01
2010,8,93861,2010-08-01
2010,9,96003,2010-09-01
2010,10,106251,2010-10-01
2010,11,107960,2010-11-01
2010,12,102321,2010-12-01
2011,1,114434,2011-01-01
2011,2,118527,2011-02-01
2011,3,135158,2011-03-01
2011,4,132689,2011-04-01
2011,5,167956,2011-05-01
2011,6,155390,2011-06-01
2011,7,155395,2011-07-01
2011,8,164820,2011-08-01
2011,9,171031,2011-09-01
2011,10,191545,2011-10-01
2011,11,187460,2011-11-01
2011,12,180579,2011-12-01
2012,1,197698,2012-01-01
2012,2,204767,2012-02-01
2012,3,242414,2012-03-01
2012,4,226481,2012-04-01
2012,5,232291,2012-05-01
2012,6,232458,2012-06-01
2012,7,251477,2012-07-01
2012,8,253526,2012-08-01
2012,9,250179,2012-09-01
2012,10,284387,2012-10-01
2012,11,278834,2012-11-01
2012,12,271924,2012-12-01
2013,1,287828,2013-01-01
2013,2,290477,2013-02-01
2013,3,321309,2013-03-01
2013,4,322990,2013-04-01
2013,5,336917,2013-05-01
2013,6,327393,2013-06-01
2013,7,344088,2013-07-01
2013,8,343854,2013-08-01
2013,9,350217,2013-09-01
2013,10,377412,2013-10-01
2013,11,363892,2013-11-01
2013,12,351902,2013-12-01
2014,1,371548,2014-01-01
2014,2,361321,2014-02-01
2014,3,420540,2014-03-01
2014,4,428488,2014-04-01
2014,5,416099,2014-05-01
2014,6,414932,2014-06-01
2014,7,440998,2014-07-01
2014,8,440738,2014-08-01
2014,9,453116,2014-09-01
2014,10,482511,2014-10-01
2014,11,479315,2014-11-01
2014,12,470329,2014-12-01
2015,1,486774,2015-01-01
2015,2,470095,2015-02-01
2015,3,529002,2015-03-01
2015,4,569867,2015-04-01
2015,5,539310,2015-05-01
2015,6,562170,2015-06-01
2015,7,592341,2015-07-01
2015,8,579148,2015-08-01
2015,9,594100,2015-09-01
2015,10,638517,2015-10-01
2015,11,616835,2015-11-01
2015,12,629914,2015-12-01
2016,1,647786,2016-01-01
2016,2,668347,2016-02-01
2016,3,761256,2016-03-01
2016,4,700566,2016-04-01
2016,5,744841,2016-05-01
2016,6,772470,2016-06-01
2016,7,785447,2016-07-01
2016,8,812472,2016-08-01
2016,9,825353,2016-09-01
2016,10,874311,2016-10-01
2016,11,871299,2016-11-01
2016,12,888623,2016-12-01
2017,1,938489,2017-01-01
2017,2,922622,2017-02-01
2017,3,1013726,2017-03-01
2017,4,976586,2017-04-01
2017,5,1021561,2017-05-01
2017,6,1029508,2017-06-01
2017,7,1060881,2017-07-01
2017,8,1084657,2017-08-01
2017,9,1066967,2017-09-01
2017,10,1120396,2017-10-01
2017,11,1122074,2017-11-01
2017,12,1128940,2017-12-01
2018,1,1165277,2018-01-01
2018,2,1105177,2018-02-01
2018,3,1234437,2018-03-01
2018,4,1247381,2018-04-01
2018,5,1259911,2018-05-01
2018,6,1275346,2018-06-01
2018,7,1311115,2018-07-01
2018,8,1326422,2018-08-01
2018,9,1278012,2018-09-01
2018,10,1402611,2018-10-01
2018,11,1336145,2018-11-01
2018,12,1334025,2018-12-01
2019,1,1359795,2019-01-01
2019,2,1257797,2019-02-01
2019,3,1416037,2019-03-01
2019,4,1383122,2019-04-01
2019,5,1444707,2019-05-01
2019,6,1363842,2019-06-01
2019,7,1472685,2019-07-01
2019,8,1448736,2019-08-01
2019,9,1460297,2019-09-01
2019,10,116040,2019-10-01
2019,11,66,2019-11-01
